"claim_id","source_section","source_excerpt_short","claim_summary","claim_nature","audit_status","current_project_reference","conflict_or_change","external_verification_required","external_source","recommendation","user_decision_required","downstream_effect","notes"
"RC-071","Universo candidati","superficie minima ... da motivare","La superficie minima era ancora da definire.","METHODOLOGICAL_CHOICE","SUPERSEDED","DEC-0065; CANDIDATE_UNIVERSE_CONTRACT_v01 §10","È ora fissata HARD a 8.000 m² lordi post-repair/split.","NO","","Aggiornare a 8.000 m² e provenienza da consulenza tecnica comunicata dall'utente.","NO","V2-1",""
"RC-072","Universo candidati","sistema di riferimento cartografico operativo","Il CRS operativo deve essere esplicito e documentato.","METHODOLOGICAL_CHOICE","KEEP","CANDIDATE_UNIVERSE_CONTRACT_v01 §14-15","Valore numerico può essere parametro tecnico di implementazione, non decisione metodologica implicita.","NO","","Mantenere.","NO","V2-1 IMPLEMENTATION",""
"RC-073","Ammissibilità","superficie insufficiente","Superficie <8.000 m² è esclusione hard dall'universo.","METHODOLOGICAL_CHOICE","ADAPT","DEC-0065; CANDIDATE_UNIVERSE_CONTRACT_v01 §10-11","Il principio generico è ora specificato esattamente in DQ-01.","NO","","Usare MIN_AREA_8000_NOT_MET.","NO","V2-1",""
"RC-074","Ammissibilità","incompatibilità urbanistica","L'incompatibilità urbanistica deve essere hard filter regionale nel core.","METHODOLOGICAL_CHOICE","ADAPT","DEC-0065; PROJECT_MODEL_CONTRACT_REBASELINE_v01 §9, §12","DQ-01 non approva questo hard; eventuale hard sostanziale è DQ-02/DQ-03 e deve essere riproducibile alla scala strategica.","NO","","Non applicare come hard finché non approvato.","YES","DQ-02/DQ-03",""
"RC-075","Ammissibilità","impossibilità di garantire un accesso adeguato","Accesso locale inadeguato è hard exclusion nel core.","METHODOLOGICAL_CHOICE","ADAPT","DEC-0062; FASE_1_HUB_DEFINITION_REBASELINED_v03 §5; CANDIDATE_UNIVERSE_CONTRACT_v01 §12","Accessibilità macro può entrare in criteri futuri; accesso locale definitivo è post-model.","NO","","Non usare come hard locale automatico; proporre eventuale metrica macro in DQ-02/DQ-03.","YES","DQ-02/DQ-03 / POST_MODEL",""
"RC-076","Ammissibilità","mancato rispetto condizioni AFIR/TEN-T eventualmente applicabili","AFIR/TEN-T può rendere un sito non ammissibile.","METHODOLOGICAL_CHOICE","ADAPT","FASE_1_HUB_DEFINITION_REBASELINED_v03 §4; ROADMAP_METODOLOGICA_v2 V2-2/V2-6","La funzione AFIR e il suo ruolo HARD/SOFT/configurazione non sono ancora approvati.","YES","EUR-Lex Reg. (UE) 2023/1804 consolidato 08-01-2026","Portare la regola operativa a DQ-02/DQ-03 e/o DQ-07/DQ-08.","YES","DQ-02/DQ-03/DQ-07/DQ-08",""
"RC-077","Scoring","pesi espliciti, motivati, configurabili, documentati, sensitivity","I pesi devono essere tracciabili/configurabili e sottoposti a sensibilità.","METHODOLOGICAL_CHOICE","KEEP","ROADMAP_METODOLOGICA_v2 V2-5/V2-8; PROJECT_MODEL_CONTRACT_REBASELINE_v01 §2","","NO","","Mantenere come requisito di qualità, senza fissare valori.","NO","DQ-05/DQ-10",""
"RC-078","Scoring","peso intero positivo 1–5 per criterio","I pesi devono essere interi positivi da 1 a 5.","METHODOLOGICAL_CHOICE","NEW_INFORMATION","ROADMAP_METODOLOGICA_v2 V2-5; DEC-0061/0062","Nessuna scala dei pesi è approvata; DQ-05 è pendente.","NO","","Inserire solo come opzione metodologica da sottoporre all'utente.","YES","DQ-05",""
"RC-079","Scoring","valore [0,1] da normalizzazione min-max","Tutti gli indicatori devono usare min-max [0,1].","METHODOLOGICAL_CHOICE","NEW_INFORMATION","ROADMAP_METODOLOGICA_v2 V2-4; DEC-0061/0062","Normalizzazione esatta è DQ-04; il min-max non è approvato né necessariamente adatto a tutti gli indicatori.","NO","","Valutare in DQ-04 con estremi, campione e outlier espliciti.","YES","DQ-04",""
"RC-080","Scoring","somma dei prodotti peso × valore normalizzato","Lo score individuale deve essere una somma pesata additiva.","METHODOLOGICAL_CHOICE","NEW_INFORMATION","ROADMAP_METODOLOGICA_v2 V2-5; PROJECT_MODEL_CONTRACT_REBASELINE_v01 §8","Formula di aggregazione DQ-06 non approvata.","NO","","Portare a DQ-06; testare compensabilità e tracciabilità.","YES","DQ-06",""
"RC-081","Scoring criteri","accessibilità ... classe strada servente","Classe/accessibilità stradale come criterio soft.","METHODOLOGICAL_CHOICE","NEW_INFORMATION","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §5; ROADMAP_METODOLOGICA_v2 V2-2","Dominio accessibilità è ammesso, indicatore specifico non approvato.","NO","","Definire formula, geometria, unità e significato in DQ-02/DQ-03.","YES","DQ-02/DQ-03",""
"RC-082","Scoring criteri","domanda logistica e industriale","Domanda logistica/industriale come criterio soft.","METHODOLOGICAL_CHOICE","NEW_INFORMATION","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §5; ROADMAP_METODOLOGICA_v2 V2-2","Dominio coerente, indicatore specifico pendente.","NO","","Portare a DQ-02/DQ-03.","YES","DQ-02/DQ-03",""
"RC-083","Scoring criteri","flussi veicolari intercettabili","Flussi Light/Heavy intercettabili come criterio soft.","METHODOLOGICAL_CHOICE","NEW_INFORMATION","DEC-0054/0055; PROJECT_MODEL_CONTRACT_REBASELINE_v01 §5","Baseline macro esiste; formula/indicatore pendente.","NO","","Portare a DQ-02/DQ-03 usando baseline Light/Heavy approvate.","YES","DQ-02/DQ-03",""
"RC-084","Scoring criteri","compatibilità territoriale","Compatibilità territoriale generica come criterio.","METHODOLOGICAL_CHOICE","ADAPT","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §9, §12","Troppo generico e rischia doppio conteggio tra hard/soft/flag.","NO","","Scomporre in indicatori/flag non ridondanti nel contratto criteri.","YES","DQ-02/DQ-03",""
"RC-085","Scoring criteri","presenza di infrastrutture a idrogeno preesistenti","Presenza/prossimità di infrastrutture H2 esistenti o programmate come criterio.","METHODOLOGICAL_CHOICE","NEW_INFORMATION","ROADMAP_METODOLOGICA_v2 V2-2","Non è indicatore approvato; Monfalcone rende il tema materialmente rilevante.","YES","APT/NAHV/FVG sources listed in RC-099…RC-104","Definire prima la semantica: sinergia, ridondanza, copertura o contesto; evitare premio automatico.","YES","DQ-02/DQ-03/DQ-07",""
"RC-086","Output ranking","raw, normalizzati, pesi, contributi, score, posizione","Lo score deve essere decomponibile e tracciabile per candidato.","METHODOLOGICAL_CHOICE","KEEP","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §2; ROADMAP_METODOLOGICA_v2 V2-3…V2-5","","NO","","Mantenere; campi finali dipenderanno dai contratti approvati.","NO","V2-3…V2-5",""
"RC-087","Configurazione cinque Hub","suddivisione geografica FVG in cinque macro aree","Dividere il FVG in esattamente cinque macro-aree ai fini della selezione.","METHODOLOGICAL_CHOICE","NEW_INFORMATION","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §8; ROADMAP_METODOLOGICA_v2 V2-6","Nessun vincolo territoriale/diversificazione è approvato.","NO","","Portare a DQ-07/DQ-08; motivare necessità rispetto a ottimizzazione globale.","YES","DQ-07/DQ-08",""
"RC-088","Configurazione cinque Hub","rendere costante lunghezza rete TEN-T","Costruire macro-aree bilanciando la lunghezza TEN-T.","METHODOLOGICAL_CHOICE","NEW_INFORMATION","ROADMAP_METODOLOGICA_v2 V2-6","Nuovo criterio di partizionamento non approvato.","NO","","Valutare razionale, metrica e interazione con AFIR prima di approvare.","YES","DQ-07/DQ-08",""
"RC-089","Configurazione cinque Hub","rapporto addetti manifatturieri / regionali","Costruire macro-aree bilanciando la quota di addetti manifatturieri.","METHODOLOGICAL_CHOICE","NEW_INFORMATION","ROADMAP_METODOLOGICA_v2 V2-6","Nuovo criterio di partizionamento non approvato.","NO","","Valutare coerenza con obiettivo e rischio di doppio conteggio con domanda industriale.","YES","DQ-07/DQ-08",""
"RC-090","Configurazione cinque Hub","per ciascuna macro-area","Selezionare esattamente un Hub per ciascuna delle cinque macro-aree.","METHODOLOGICAL_CHOICE","NEW_INFORMATION","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §8","Vincolo implicito non approvato.","NO","","Renderlo esplicito e sottoporlo all'utente; non inferirlo dal numero di macro-aree.","YES","DQ-07/DQ-08",""
"RC-091","Configurazione cinque Hub","10 migliori candidati","Limitare l'ottimizzazione ai top-10 per macro-area.","METHODOLOGICAL_CHOICE","NEW_INFORMATION","ROADMAP_METODOLOGICA_v2 V2-7","Pre-screen top-k può escludere l'ottimo globale e non è approvato.","NO","","Usare solo se giustificato da costo computazionale e dopo test di non perdita; altrimenti ottimizzare sull'insieme ammissibile.","YES","DQ-09",""
"RC-092","Configurazione cinque Hub","10^5=100000 cinquine","Con 10 candidati in 5 macro-aree e un Hub per area, l'enumerazione produce 100.000 combinazioni.","ASSUMPTION","ADAPT","ROADMAP_METODOLOGICA_v2 V2-6/V2-7","Aritmeticamente corretto solo se sono approvate le assunzioni macro-aree, top-10 e uno-per-area.","NO","","Trattare come conseguenza computazionale condizionata, non requisito.","YES","DQ-07/DQ-09",""
"RC-093","Configurazione cinque Hub","5 migliori ... 5^5=3125","Con top-5 in 5 macro-aree e un Hub per area, l'enumerazione produce 3.125 combinazioni.","ASSUMPTION","ADAPT","ROADMAP_METODOLOGICA_v2 V2-6/V2-7","Aritmeticamente corretto ma metodo top-5 non approvato.","NO","","Trattare come scenario metodologico, non baseline.","YES","DQ-07/DQ-09",""
"RC-094","Configurazione cinque Hub","qualità della combinazione ... non soltanto singoli","La funzione finale deve valutare la cinquina, non solo gli score individuali.","METHODOLOGICAL_CHOICE","KEEP","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §8; ROADMAP_METODOLOGICA_v2 V2-6","","NO","","Mantenere; funzione esatta resta DQ-07/DQ-08.","NO","DQ-07/DQ-08",""
"RC-095","Robustezza","variazione pesi, soglie, superficie, indicatori, energia, ambiente, obiettivo","La robustness deve perturbare assunzioni sostanziali e produrre metriche quantitative.","METHODOLOGICAL_CHOICE","KEEP","ROADMAP_METODOLOGICA_v2 V2-8","Set esatto/range è DQ-10.","NO","","Mantenere come principi; non pre-fissare scenari non approvati.","NO","DQ-10",""
"RC-096","Finalisti","accesso stradale effettivo","Verifica definitiva dell'accesso locale dei finalisti è parte del core prima del freeze.","METHODOLOGICAL_CHOICE","SUPERSEDED","DEC-0062; FASE_1_HUB_DEFINITION_REBASELINED_v03 §5","DEFER_POST_MODEL.","NO","","Spostare tra raccomandazioni post-model.","NO","POST_MODEL",""
"RC-097","Finalisti","conformità urbanistica","Verifica urbanistica definitiva dei finalisti è gate del core.","METHODOLOGICAL_CHOICE","SUPERSEDED","DEC-0062 successor disposition DEC-0048","DEFER_POST_MODEL; nel core restano source tier/currentness flags.","NO","","Spostare post-model.","NO","POST_MODEL",""
"RC-098","Finalisti","proprietà e disponibilità","Verifica proprietà/disponibilità è gate del core.","METHODOLOGICAL_CHOICE","SUPERSEDED","DEC-0061/0062; REBASELINE_APPROVAL_AND_PHASE3_CLOSE_v01 §3","Esplicitamente fuori scope core.","NO","","Spostare post-model.","NO","POST_MODEL",""
"RC-099","Finalisti","possibilità di connessione energetica","Capacità/punto/costo reale di connessione è gate del core.","METHODOLOGICAL_CHOICE","SUPERSEDED","DEC-0050/0053; DEC-0062","Nel core solo proxy; verifica reale post-model.","NO","","Spostare post-model.","NO","POST_MODEL",""
"RC-100","Finalisti","criticità bloccante ... riaprire fase precedente","Una criticità post-model riapre automaticamente il modello e la selezione.","METHODOLOGICAL_CHOICE","SUPERSEDED","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §6; ROADMAP_METODOLOGICA_v2 §4","Post-model non è un gate automatico del freeze MODEL_v2.","NO","","Riformulare: può motivare una nuova iterazione/decisione utente, non riapertura automatica.","YES","POST_MODEL / CHANGE_CONTROL",""
"RC-101","Monfalcone Lisert","stazione H2 prevista presso nuova sede APT","Esiste un progetto APT per impianto H2 a Monfalcone Lisert.","FACT_OBSERVED","NEW_INFORMATION","Nessuna DEC corrente specifica su Monfalcone","Verificato esternamente.","YES","APT EcoMove: https://www.aptgorizia.it/gli-impianti-apt-ecomove/ ; NAHV catalogue: https://www.nahv.eu/wp-content/uploads/2025/05/NAHV-testbeds-catalogue-may-2025.pdf","Integrare come infrastruttura H2 di contesto verificata, non come Hub selezionato automaticamente.","NO","CONTEXT / DQ-02/DQ-07",""
"RC-102","Monfalcone Lisert","nuova sede APT ... Monfalcone Lisert","Soggetto APT Gorizia e localizzazione nella zona industriale Lisert/via Consiglio d'Europa.","FACT_OBSERVED","NEW_INFORMATION","Nessuna DEC corrente specifica su Monfalcone","Verificato da APT/NAHV.","YES","APT EcoMove: https://www.aptgorizia.it/gli-impianti-apt-ecomove/ ; NAHV catalogue","Registrare con fonte e data; eventuale geometria richiede dato geospaziale ufficiale se usata nel modello.","NO","CONTEXT_DATA",""
"RC-103","Monfalcone Lisert","produzione fino a 400 kg H2/giorno","Il progetto pubblica capacità di produzione giornaliera fino a 400 kg H2.","FACT_OBSERVED","NEW_INFORMATION","Nessuna DEC corrente specifica su Monfalcone","Verificato nel catalogo NAHV 2025.","YES","NAHV Testbed Catalogue May 2025: https://www.nahv.eu/wp-content/uploads/2025/05/NAHV-testbeds-catalogue-may-2025.pdf","Integrare come dato tecnico verificato con caveat: produzione non equivale automaticamente a capacità cumulativa di rifornimento AFIR.","NO","H2_CONTEXT",""
"RC-104","Monfalcone Lisert","due erogatori 350 bar ... uno 700 bar","Il progetto prevede due dispenser 350 bar per bus e uno 700 bar per veicoli.","FACT_OBSERVED","NEW_INFORMATION","Nessuna DEC corrente specifica su Monfalcone","Verificato nel catalogo NAHV e coerente con pagina APT.","YES","NAHV Testbed Catalogue May 2025; APT EcoMove","Integrare come dato tecnico verificato.","NO","H2_CONTEXT",""
"RC-105","Monfalcone Lisert","infrastruttura programmata già nota","La stazione è operativa o già disponibile ai fini della copertura.","FACT_OBSERVED","ADAPT","Nessuna DEC corrente specifica su Monfalcone","Fonti 2025-2026 mostrano cantiere/lavori avanzati; operatività non verificata al 21-09-2026.","YES","Prefettura Gorizia 13-11-2025: https://prefettura.interno.gov.it/it/prefetture/gorizia/notizie/vigilanza-e-tutela-legalita-e-trasparenza-nei-lavori-pubblici ; APT 2026: https://www.aptgorizia.it/apt-news/assemblea-dei-soci-crescita-transizione-ecologica/ ; FVG Energia 2026","Classificare CURRENT_STATUS=UNDER_CONSTRUCTION/ADVANCED_WORKS; re-verificare commissioning prima di ogni uso operativo.","NO","H2_CONTEXT / AFIR","Non chiamarla operativa senza prova aggiornata."
"RC-106","Monfalcone Lisert","possa contare ai fini della copertura richiesta","Monfalcone può essere conteggiata automaticamente come stazione AFIR conforme.","METHODOLOGICAL_CHOICE","ADAPT","DEC-0007/F1-D2; ROADMAP_METODOLOGICA_v2 V2-6","Non dimostrato: 700 bar sì; i 400 kg/giorno sono produzione e sono sotto 1 t/giorno; accessibilità pubblica, commissioning, capacità di rifornimento e posizione/routing TEN-T vanno verificati.","YES","EUR-Lex art. 6; NAHV; APT","Non conteggiare automaticamente come copertura AFIR; creare verifica dedicata e decisione DQ-07/DQ-08 sul ruolo nel configuration contract.","YES","DQ-07/DQ-08 / AFIR_VALIDATION","Non concludere non-compliance: capacità produzione != capacità cumulativa stazione."
"RC-107","Monfalcone Lisert","distinguendo stazione Monfalcone, nuove stazioni del modello e configurazione complessiva","Il modello deve distinguere infrastruttura esistente/programmata dai cinque nuovi Hub e dalla copertura complessiva.","METHODOLOGICAL_CHOICE","KEEP","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §8","Principio di non-confusione coerente; ruolo concreto resta pendente.","YES","APT/NAHV + EUR-Lex","Mantenere questa separazione nel futuro configuration contract.","NO","DQ-07/DQ-08",""
"RC-108","Pipeline Claude","utilizzare una pipeline Claude già esistente e quattro file forniti","La fase successiva dovrà alimentare una pipeline Claude esistente con un pacchetto ripulito.","USER_REQUIREMENT / REQUIREMENT_OF_COMMISSION","NEW_INFORMATION","DISPATCH_CHAT_90.5 §9","Requisito operativo, non scelta metodologica del MODEL_v2.","NO","","Preparare input status-marked; non scrivere ancora il prompt finale.","NO","NEXT_CHAT_INPUT","Questo audit produce solo il pacchetto PROPOSED."
"RC-109","Pipeline Claude","mantenendo separate scelte consolidate dalle assunzioni tecniche","Il prompt futuro deve separare baseline approvata, assunzioni, requisiti pendenti e fatti verificati.","USER_REQUIREMENT / REQUIREMENT_OF_COMMISSION","KEEP","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §9-10; project governance principles","","NO","","Mantenere come requisito del pacchetto Claude.","NO","NEXT_CHAT_INPUT",""
"RC-110","Pipeline Claude","Assunzioni, limitazioni e requisiti non valutabili ... output finali","Gli output futuri devono dichiarare assunzioni, limitazioni e requisiti non valutabili.","USER_REQUIREMENT / REQUIREMENT_OF_COMMISSION","KEEP","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §10-11; ROADMAP_METODOLOGICA_v2 V2-8/V2-9","","NO","","Mantenere.","NO","REPORTING",""
"RC-111","Stralcio A - universo","gestione contiguità, merge e split","Le regole geometriche sono ancora da definire ex novo.","METHODOLOGICAL_CHOICE","SUPERSEDED","DEC-0065; CANDIDATE_UNIVERSE_CONTRACT_v01 §7-9","DQ-01 ha già definito split multipart, no dissolve generalizzato e canonicalizzazione per identità/lineage.","NO","","Usare il contratto DQ-01, non riaprire il tema nello stralcio.","NO","V2-1",""
"RC-112","Stralcio B - AFIR","10 km H2 / 200 km core / 10 km tra Hub","Lo stralcio ripete i requisiti AFIR e il requisito 10 km tra Hub.","EDITORIAL_DESCRIPTION","DUPLICATE","RC-018, RC-021, RC-025","Nessun contenuto aggiuntivo rispetto ai claim già atomizzati.","YES","EUR-Lex per AFIR","Non duplicare nel pacchetto; rinviare ai claim canonici.","NO","DOCUMENT_CLEANUP",""
"RC-113","Stralcio C - Monfalcone","400 kg; 2x350; 1x700","Lo stralcio ripete i dati tecnici Monfalcone.","EDITORIAL_DESCRIPTION","DUPLICATE","RC-103, RC-104","Nessun contenuto aggiuntivo.","YES","NAHV Testbed Catalogue May 2025","Non duplicare; usare i claim verificati canonici.","NO","DOCUMENT_CLEANUP",""
"RC-114","Stralcio A - scoring","pesi 1-5, min-max, somma pesata","Lo stralcio riassume la proposta di scoring.","EDITORIAL_DESCRIPTION","DUPLICATE","RC-078, RC-079, RC-080","Già separato in tre decisioni metodologiche atomiche.","NO","","Non importare in blocco come metodologia corrente.","YES","DQ-04…DQ-06",""
