element_type,element_id,element_name,current_status,proposed_disposition,core_role_v2,rationale,roadmap_impact,user_approval_required,successor_or_note
DATASET,F3_SRC_FVG_ZONING_IND_001,Zone industriali e artigianali — CER:ZONE_INDUSTRIALI_ARTIG_D,HISTORICAL_ONLY / SUPPORT_ONLY,HISTORICAL_SUPPORT,urban_legacy,2018 mosaic useful as fallback/lineage.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_HEAVY_OD_001,HEAVY_OD_VEHICLES_DAY_v01.csv — domanda Heavy,ACCEPTED,KEEP,mobility_heavy,Heavy macro demand.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_HEAVY_PATH_001,HEAVY_PATH_FLOWS_v01.csv — path-flow/corridoi Heavy,ACCEPTED,KEEP,mobility_heavy,Heavy macro path-flow/corridors.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_ISTAT_COMMUTE_001,Matrice di pendolarismo per lavoro 2021,SOURCE_VERIFIED,KEEP,mobility_light,Demand/commuting source potentially core.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_ISTAT_MUNI_001,Elenco Comuni italiani — perimetro corrente FVG,REVIEW,KEEP,geography,Administrative perimeter/join source.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_ISTAT_POP_001,Popolazione residente / Censimento permanente,SOURCE_VERIFIED,KEEP,territorial_optional,Valid source; becomes indicator only if DQ-02 approves.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_LIGHT_DEMAND_001,LIGHT_DIRTY_OD_v01 — domanda Light provvisoria macro,ACCEPTED,KEEP,mobility_light,Provisional Light macro demand with status preserved.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_LIGHT_GAMMA_001,Gamma_OSM v01 — accessi comunali Light,ACCEPTED,KEEP,mobility_light,Light municipal impedance/access support.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_LIGHT_OD_PATH_001,OD_PATH_SYSTEM_OSM v01 — path system Light,ACCEPTED,KEEP,mobility_light,Light macro path system.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_LIGHT_OSM_GRAPH_001,G_OSM_operativo_v01 — baseline stradale Light FROZEN,ACCEPTED,KEEP,mobility_light,Light macro network.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_OSM_GRID_PROXY_001,OpenStreetMap — sottostazioni elettriche per proxy territoriale CP/AT-MT,ACCEPTED,KEEP,energy_proxy,Approved baseline for strategic proximity proxy.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_PAI_001,"PAI vigente FVG — corpus multi-bacino, cartografia e disciplina ufficiale",ACCEPTED,KEEP,environment,PAI normative/cartographic reference.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_PGRA_001,PGRA Distretto Alpi Orientali — pericolosità e rischio alluvioni,ACCEPTED,KEEP,environment,Valid macro source; hard/soft/flag role remains future decision.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_PPR_001,Piano Paesaggistico Regionale FVG / WebGIS PPR,SOURCE_VERIFIED / EXTRACTION_VALIDATED,KEEP,environment,Current source useful; no automatic score.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_SNAI_001,Mappa Aree Interne / SNAI 2021-2027,SOURCE_VERIFIED,HISTORICAL_SUPPORT,optional_context,Valid context but not automatically discriminating.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_TENTEC_001,"TEN-T / TENtec — strade, nodi urbani, porti, terminali",SOURCE_VERIFIED / CROSSWALK_VALIDATED,KEEP,tent_accessibility,Core source for TEN-T/corridors.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_TERNA_TERRA_001,TE.R.R.A. — rete e richieste di connessione,SOURCE_VERIFIED / DATA_ACCESS_TO_VALIDATE,DEFER_POST_MODEL,energy_detail,Real connection analysis is not needed beyond approved macro proxy.,Dataset availability does not imply indicator inclusion.,YES,
ARTIFACT,.gitignore,.gitignore,TRACKED,KEEP,project_infrastructure,Infrastructure/document compatible with v2.,No substantive impact.,NO,
ARTIFACT,README.md,README.md,TRACKED,KEEP,project_infrastructure,Infrastructure/document compatible with v2.,No substantive impact.,NO,
ARTIFACT,docs/ARCHITECTURE_MIGRATION_20260918.md,docs/ARCHITECTURE_MIGRATION_20260918.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/BASELINE_QGIS_BELTRAME_REVIEW_v01.md,docs/BASELINE_QGIS_BELTRAME_REVIEW_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/DISPATCH_CHAT_0.3_STRATEGIC_REBASELINE_v01.md,docs/DISPATCH_CHAT_0.3_STRATEGIC_REBASELINE_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/DISPATCH_CHAT_2.1_UNIT_ANALYSIS_v01.md,docs/DISPATCH_CHAT_2.1_UNIT_ANALYSIS_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/DISPATCH_CHAT_3.10_LIGHT_HEAVY_ROUTING_DEMAND_BASELINES_v01.md,docs/DISPATCH_CHAT_3.10_LIGHT_HEAVY_ROUTING_DEMAND_BASELINES_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/DISPATCH_CHAT_3.11_PGRA_PAI_CURRENT_BASELINE_v01.md,docs/DISPATCH_CHAT_3.11_PGRA_PAI_CURRENT_BASELINE_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/DISPATCH_CHAT_3.12_NATURA2000_PRESCREEN_RULESET_v01.md,docs/DISPATCH_CHAT_3.12_NATURA2000_PRESCREEN_RULESET_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/DISPATCH_CHAT_3.1_DATA_INVENTORY_GAP_ANALYSIS_v01.md,docs/DISPATCH_CHAT_3.1_DATA_INVENTORY_GAP_ANALYSIS_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/DISPATCH_CHAT_3.2_URBAN_PLANNING_POLYGONS_v01.md,docs/DISPATCH_CHAT_3.2_URBAN_PLANNING_POLYGONS_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/DISPATCH_CHAT_3.3_ROAD_TENT_VALIDATION_v01.md,docs/DISPATCH_CHAT_3.3_ROAD_TENT_VALIDATION_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/DISPATCH_CHAT_3.4_TERRITORIAL_ENVIRONMENTAL_CONSTRAINTS_v01.md,docs/DISPATCH_CHAT_3.4_TERRITORIAL_ENVIRONMENTAL_CONSTRAINTS_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/DISPATCH_CHAT_3.5_ELECTRIC_GRID_ENERGY_FEASIBILITY_v01.md,docs/DISPATCH_CHAT_3.5_ELECTRIC_GRID_ENERGY_FEASIBILITY_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/DISPATCH_CHAT_3.5_ELECTRIC_GRID_ENERGY_FEASIBILITY_v02.md,docs/DISPATCH_CHAT_3.5_ELECTRIC_GRID_ENERGY_FEASIBILITY_v02.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/DISPATCH_CHAT_3.7_TENT_CROSSWALK_EXIT_RELEVANCE_v01.md,docs/DISPATCH_CHAT_3.7_TENT_CROSSWALK_EXIT_RELEVANCE_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/DISPATCH_CHAT_3.8_CURRENT_URBAN_PLANNING_ACQUISITION_v01.md,docs/DISPATCH_CHAT_3.8_CURRENT_URBAN_PLANNING_ACQUISITION_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/DISPATCH_CHAT_3.9_CLOSE_URBAN_PLANNING_TO_VERIFY_v01.md,docs/DISPATCH_CHAT_3.9_CLOSE_URBAN_PLANNING_TO_VERIFY_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/FASE_1_HUB_DEFINITION_CONSOLIDATED_v02.md,docs/FASE_1_HUB_DEFINITION_CONSOLIDATED_v02.md,TRACKED,SIMPLIFY,frozen_baseline,Functional definition valid but pointwise requirements need separation.,Propose v03 successor; do not modify v02.,YES,
ARTIFACT,docs/FASE_1_HUB_DEFINITION_REVIEW_v01.md,docs/FASE_1_HUB_DEFINITION_REVIEW_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/FASE_2_UNIT_ANALYSIS_CONSOLIDATED_v01.md,docs/FASE_2_UNIT_ANALYSIS_CONSOLIDATED_v01.md,TRACKED,KEEP,frozen_baseline,Polygon unit coherent with DEC-0061.,No successor required.,NO,
ARTIFACT,docs/FASE_2_UNIT_ANALYSIS_REVIEW_v01.md,docs/FASE_2_UNIT_ANALYSIS_REVIEW_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/FASE_3_CURRENT_URBAN_PLANNING_COVERAGE_v01.csv,docs/FASE_3_CURRENT_URBAN_PLANNING_COVERAGE_v01.csv,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_CURRENT_URBAN_PLANNING_COVERAGE_v02.csv,docs/FASE_3_CURRENT_URBAN_PLANNING_COVERAGE_v02.csv,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_CURRENT_URBAN_PLANNING_EVIDENCE_v01.json,docs/FASE_3_CURRENT_URBAN_PLANNING_EVIDENCE_v01.json,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_CURRENT_URBAN_PLANNING_SOURCE_SUPPLEMENT_v01.csv,docs/FASE_3_CURRENT_URBAN_PLANNING_SOURCE_SUPPLEMENT_v01.csv,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_CURRENT_URBAN_PLANNING_TO_VERIFY_BASELINE_v01.csv,docs/FASE_3_CURRENT_URBAN_PLANNING_TO_VERIFY_BASELINE_v01.csv,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_CURRENT_URBAN_PLANNING_VALIDATION_REVIEW_v01.md,docs/FASE_3_CURRENT_URBAN_PLANNING_VALIDATION_REVIEW_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/FASE_3_CURRENT_URBAN_PLANNING_VECTOR_QA_v01.csv,docs/FASE_3_CURRENT_URBAN_PLANNING_VECTOR_QA_v01.csv,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_DATA_INVENTORY_REVIEW_v01.md,docs/FASE_3_DATA_INVENTORY_REVIEW_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/FASE_3_ELECTRIC_GRID_PROXY_SOURCE_MATRIX_v01.csv,docs/FASE_3_ELECTRIC_GRID_PROXY_SOURCE_MATRIX_v01.csv,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_ELECTRIC_GRID_PROXY_VALIDATION_REVIEW_v01.md,docs/FASE_3_ELECTRIC_GRID_PROXY_VALIDATION_REVIEW_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/FASE_3_LIGHT_HEAVY_BASELINE_VALIDATION_REVIEW_v01.md,docs/FASE_3_LIGHT_HEAVY_BASELINE_VALIDATION_REVIEW_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/FASE_3_LIGHT_HEAVY_SOURCE_MATRIX_v01.csv,docs/FASE_3_LIGHT_HEAVY_SOURCE_MATRIX_v01.csv,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_PGRA_PAI_CURRENT_BASELINE_VALIDATION_REVIEW_v01.md,docs/FASE_3_PGRA_PAI_CURRENT_BASELINE_VALIDATION_REVIEW_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/FASE_3_PGRA_PAI_SOURCE_MATRIX_v01.csv,docs/FASE_3_PGRA_PAI_SOURCE_MATRIX_v01.csv,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_ROAD_TENT_VALIDATION_REVIEW_v01.md,docs/FASE_3_ROAD_TENT_VALIDATION_REVIEW_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/FASE_3_TENT_CROSSWALK_VALIDATION_REVIEW_v01.md,docs/FASE_3_TENT_CROSSWALK_VALIDATION_REVIEW_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/FASE_3_TENT_EXIT_RELEVANCE_SCREENING_v01.md,docs/FASE_3_TENT_EXIT_RELEVANCE_SCREENING_v01.md,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_TERRITORIAL_CONSTRAINT_ROLE_MATRIX_v01.csv,docs/FASE_3_TERRITORIAL_CONSTRAINT_ROLE_MATRIX_v01.csv,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_TERRITORIAL_ENVIRONMENTAL_VALIDATION_REVIEW_v01.md,docs/FASE_3_TERRITORIAL_ENVIRONMENTAL_VALIDATION_REVIEW_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/FASE_3_TERRITORIAL_VALIDATION_EVIDENCE_v01.json,docs/FASE_3_TERRITORIAL_VALIDATION_EVIDENCE_v01.json,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_URBAN_PLANNING_CURRENT_SAMPLE_v01.csv,docs/FASE_3_URBAN_PLANNING_CURRENT_SAMPLE_v01.csv,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_URBAN_PLANNING_MUNICIPAL_COVERAGE_v01.csv,docs/FASE_3_URBAN_PLANNING_MUNICIPAL_COVERAGE_v01.csv,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_URBAN_PLANNING_TO_VERIFY_EVIDENCE_v01.json,docs/FASE_3_URBAN_PLANNING_TO_VERIFY_EVIDENCE_v01.json,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_URBAN_PLANNING_TO_VERIFY_QA_v01.json,docs/FASE_3_URBAN_PLANNING_TO_VERIFY_QA_v01.json,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_URBAN_PLANNING_TO_VERIFY_RESULTS_v01.csv,docs/FASE_3_URBAN_PLANNING_TO_VERIFY_RESULTS_v01.csv,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_URBAN_PLANNING_TO_VERIFY_REVIEW_v01.md,docs/FASE_3_URBAN_PLANNING_TO_VERIFY_REVIEW_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/FASE_3_URBAN_PLANNING_VALIDATION_EVIDENCE_v01.json,docs/FASE_3_URBAN_PLANNING_VALIDATION_EVIDENCE_v01.json,TRACKED,KEEP,validated_evidence,Fase 3 evidence remains useful for data/proxy quality and limits.,Reuse only in roles approved by rebaseline.,NO,
ARTIFACT,docs/FASE_3_URBAN_PLANNING_VALIDATION_REVIEW_v01.md,docs/FASE_3_URBAN_PLANNING_VALIDATION_REVIEW_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/HANDOFF_CHAT_0.1_20260917.md,docs/HANDOFF_CHAT_0.1_20260917.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/HANDOFF_CHAT_2.1_20260918.md,docs/HANDOFF_CHAT_2.1_20260918.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/HANDOFF_CHAT_3.10_LIGHT_HEAVY_BASELINES_v01.md,docs/HANDOFF_CHAT_3.10_LIGHT_HEAVY_BASELINES_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/HANDOFF_CHAT_3.11_PGRA_PAI_v01.md,docs/HANDOFF_CHAT_3.11_PGRA_PAI_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/HANDOFF_CHAT_3.2_URBAN_PLANNING_POLYGONS_v01.md,docs/HANDOFF_CHAT_3.2_URBAN_PLANNING_POLYGONS_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/HANDOFF_CHAT_3.3_20260918.md,docs/HANDOFF_CHAT_3.3_20260918.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/HANDOFF_CHAT_3.4_TERRITORIAL_CONSTRAINTS_v01.md,docs/HANDOFF_CHAT_3.4_TERRITORIAL_CONSTRAINTS_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/HANDOFF_CHAT_3.5_ELECTRIC_GRID_PROXY_v01.md,docs/HANDOFF_CHAT_3.5_ELECTRIC_GRID_PROXY_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/HANDOFF_CHAT_3.7_REWORK_POST_REVIEW_v01.md,docs/HANDOFF_CHAT_3.7_REWORK_POST_REVIEW_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/HANDOFF_CHAT_3.7_TENT_CROSSWALK_v01.md,docs/HANDOFF_CHAT_3.7_TENT_CROSSWALK_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/HANDOFF_CHAT_3.8_CURRENT_URBAN_PLANNING_v01.md,docs/HANDOFF_CHAT_3.8_CURRENT_URBAN_PLANNING_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/HANDOFF_CHAT_3.9_URBAN_PLANNING_TO_VERIFY_v01.md,docs/HANDOFF_CHAT_3.9_URBAN_PLANNING_TO_VERIFY_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/LAUNCH_CHAT_0.3_STRATEGIC_REBASELINE_v01.md,docs/LAUNCH_CHAT_0.3_STRATEGIC_REBASELINE_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/LAUNCH_CHAT_3.10_LIGHT_HEAVY_ROUTING_DEMAND_BASELINES_v01.md,docs/LAUNCH_CHAT_3.10_LIGHT_HEAVY_ROUTING_DEMAND_BASELINES_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/LAUNCH_CHAT_3.11_PGRA_PAI_CURRENT_BASELINE_v01.md,docs/LAUNCH_CHAT_3.11_PGRA_PAI_CURRENT_BASELINE_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/LAUNCH_CHAT_3.12_NATURA2000_PRESCREEN_RULESET_v01.md,docs/LAUNCH_CHAT_3.12_NATURA2000_PRESCREEN_RULESET_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/LAUNCH_CHAT_3.5_ELECTRIC_GRID_PROXY_QC_v01.md,docs/LAUNCH_CHAT_3.5_ELECTRIC_GRID_PROXY_QC_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/NOTE_CHAT_3.9_POST_CLOSE_SOURCE_REFRESH_v01.md,docs/NOTE_CHAT_3.9_POST_CLOSE_SOURCE_REFRESH_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/NOTE_ISS_0014_G_OSM_PRESERVATION_REPAIR_v01.md,docs/NOTE_ISS_0014_G_OSM_PRESERVATION_REPAIR_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/NOTE_PRELIMINARY_OPENINFRAMAP_SCREENING_v01.md,docs/NOTE_PRELIMINARY_OPENINFRAMAP_SCREENING_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/ONEDRIVE_STORAGE_RENAME_20260918.md,docs/ONEDRIVE_STORAGE_RENAME_20260918.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/RELAZIONE_QUADRO_PROGETTO_5_HUB_v01.md,docs/RELAZIONE_QUADRO_PROGETTO_5_HUB_v01.md,TRACKED,HISTORICAL_SUPPORT,editorial_draft,Pre-rebaseline draft contains pointwise feasibility stages.,Use only as historical/recoverable verified prose.,NO,
ARTIFACT,docs/REVIEW_CHAT_3.10_LIGHT_HEAVY_BASELINES_v01.md,docs/REVIEW_CHAT_3.10_LIGHT_HEAVY_BASELINES_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/REVIEW_CHAT_3.11_PGRA_PAI_v01.md,docs/REVIEW_CHAT_3.11_PGRA_PAI_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/REVIEW_CHAT_3.5_ELECTRIC_GRID_PROXY_v01.md,docs/REVIEW_CHAT_3.5_ELECTRIC_GRID_PROXY_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
ARTIFACT,docs/ROADMAP_METODOLOGICA_v1.md,docs/ROADMAP_METODOLOGICA_v1.md,TRACKED,SUPERSEDE_PROPOSED,roadmap,Pre-DEC-0061 roadmap.,Preserve as history; v2 becomes current after approval.,YES,
ARTIFACT,docs/relazione/CLAUDE_BASELINE_EDITORIAL_USE_v01.md,docs/relazione/CLAUDE_BASELINE_EDITORIAL_USE_v01.md,TRACKED,HISTORICAL_SUPPORT,legacy_editorial,Historical Claude editorial rule remains coherent.,Preserve.,NO,
ARTIFACT,docs/relazione/EDITORIAL_GAPS_v01.md,docs/relazione/EDITORIAL_GAPS_v01.md,TRACKED,SIMPLIFY,editorial_baseline,"Valid pre-rebaseline baseline, but scope must be realigned.",Create v02 after approval; preserve v01.,YES,
ARTIFACT,docs/relazione/EXTERNAL_SOURCE_REGISTER_TEMPLATE_v01.csv,docs/relazione/EXTERNAL_SOURCE_REGISTER_TEMPLATE_v01.csv,TRACKED,KEEP,project_infrastructure,Infrastructure/document compatible with v2.,No substantive impact.,NO,
ARTIFACT,docs/relazione/HANDOFF_CHAT_90.0_MANDATE_AND_CLAUDE_BASELINE_v01.md,docs/relazione/HANDOFF_CHAT_90.0_MANDATE_AND_CLAUDE_BASELINE_v01.md,TRACKED,HISTORICAL_SUPPORT,traceability,Mandate/review/history artifact; must not disappear.,Preserve for audit/provenance.,NO,
